"MOP","language","text","length","rating_list","mean_rating","worker_1","worker_2","worker_3","worker_4","worker_5","worker_6","worker_7","worker_8","worker_9","worker_10","worker_11","worker_12","worker_13","worker_14","worker_15","worker_16","worker_17","worker_18","worker_19","worker_20","max_workers","std_dev","std_dev_4","std_dev_8","std_dev_12","std_dev_dropoff"
"MOP4","en","Even during 1980 Braniff continued to set record traffic levels and revenues .",12,"4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 2, 3",3.47058823529,4,4,3,4,4,3,3,3,4,4,4,4,3,4,3,2,3,,,,17,0.624264272846798,0.5,0.534522483824849,0.492365963917331,0.117171720009688
"MOP4","en","The series is based on the  Outlander  novels written by Diana Gabaldon .",12,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3",3.93333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,,,15,0.258198889747161,0,0,0,0.258198889747161
"MOP4","en","There are also other desirable camping spots on this lake .",10,"4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3",3.72222222222,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,3,4,3,,,18,0.574513149960142,0,0.707106781186548,0.621581560508061,0.00283711922948415
"MOP4","en","To the southwest is the small crater Dunthorne .",8,"4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3",3.66666666667,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,,,,,,15,0.487950036474267,0.5,0.353553390593274,0.389249472080761,0.049421026820752
"MOP4","en","On their way to a picnic , Johnny , the Sprites and Gwen encounter a Bridge Troll ( Christian Borle ) .",17,"4, 3, 3, 2, 2, 3, 4, 3, 2, 4, 3, 4, 3, 4, 4, 3, 2",3.11764705882,4,3,3,2,2,3,4,3,2,4,3,4,3,4,4,3,2,,,,17,0.781213234429025,0.816496580927726,0.755928946018454,0.792961461098759,0.00661656518754161
"MOP4","en","The single peaked at number 19 in the United Kingdom .",10,"4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",3.94736842105,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,19,0.229415733870562,0.5,0.353553390593274,0.288675134594813,0.0131198911657712
"MOP4","en","Weaver's time with the Yankees was very turbulent , bouncing in and out of the starting rotation .",16,"3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4",3.64705882353,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,4,,,,17,0.492592183071889,0.577350269189626,0.517549169506766,0.522232967867094,0.014500369765221
"MOP4","en","International entrepreneurship program is a nine month program , on-top-of the bachelor's or the master's degree .",15,"3, 4, 4, 4, 4, 3, 3, 3, 4, 1, 4, 4, 3, 3, 3",3.33333333333,3,4,4,4,4,3,3,3,4,1,4,4,3,3,3,,,,,,15,0.816496580927726,0.5,0.534522483824849,0.90033663737852,0.053221911695178
"MOP4","en","Continuum didn't see a future with Kid Rock after this , and released him from his contract in 1994 .",18,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4",3.93333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,,,,,,15,0.258198889747161,0,0,0,0.258198889747161
"MOP4","en","They should also provide equipment and services to transport operators .",10,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,17,0,0,0,0,0
"MOP4","en","Prijepolje has many historical monuments from both the periods of Christianity and Islam .",13,"4, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4",3.61111111111,4,3,4,3,4,4,2,4,3,4,4,4,4,4,4,3,3,4,,,18,0.607684988914186,0.577350269189626,0.755928946018454,0.668557923421521,0.0114541984527047
"MOP4","en","Its capitula is in diameter and is globose and quite ovate .",11,"2, 2, 1, 1, 2, 1, 4, 1, 2, 3, 2, 1, 1, 4",1.92857142857,2,2,1,1,2,1,4,1,2,3,2,1,1,4,,,,,,,14,1.07161170596054,0.577350269189626,1.03509833901353,0.937436866561092,0.134174839399443
"MOP4","en","They are perceived/misconceived to severely damage hard terrain like asphalt pavement , but , actually , often have significantly lower ground pressures than equivalent or lighter wheeled vehicles .",25,"1, 3, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 4, 1, 1, 2, 2",2.88235294118,1,3,4,4,4,3,3,3,4,4,2,4,4,1,1,2,2,,,,17,1.16631647405284,1.4142135623731,0.991031208965115,0.965307299163423,0.0289121352815493
"MOP4","en","After the performances , both Abhishek's & Kushal's jodi's had a tie , so the decision of elimination was made with the help of audiences votes .",23,"3, 3, 3, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 4",2.875,3,3,3,4,2,3,4,2,2,2,3,3,3,3,2,4,,,,,16,0.718795288428261,0.5,0.755928946018454,0.717740562565273,0.055801744296465
"MOP4","en","In conjunction with the 2010 show  Sum of Limited Views  , the Kunsthalle Zürich published the exhibition book ,  Elad Lassry  .",19,"3, 4, 2, 3, 3, 2, 4, 3, 3, 4, 3, 4, 3, 1, 3, 4, 4",3.11764705882,3,4,2,3,3,2,4,3,3,4,3,4,3,1,3,4,4,,,,17,0.857492925712544,0.816496580927726,0.755928946018454,0.717740562565273,0.0123386709840276
"MOP4","en","This species is native to a tropical climate .",8,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4",3.94117647059,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,,,17,0.242535625036333,0,0,0.288675134594813,0.0156632647108281
"MOP4","en","Batman located Josh's parents , who convinced him to stop , and he regained consciousness .",13,"2, 3, 4, 3, 4, 3, 2, 2, 4, 4, 3, 3, 3, 3, 4",3.13333333333,2,3,4,3,4,3,2,2,4,4,3,3,3,3,4,,,,,,15,0.743223352957207,0.816496580927726,0.83452296039628,0.792961461098759,0.0163311723555434
"MOP4","en","At the instigation of Varlaam and Misail , the vagabonds prepare to hang the Jesuits , who appeal to the Holy Virgin for aid .",22,"4, 3, 2, 3, 2, 4, 3, 1, 3, 3, 4, 4, 4, 3, 4, 3, 4, 3",3.16666666667,4,3,2,3,2,4,3,1,3,3,4,4,4,3,4,3,4,3,,,18,0.857492925712544,0.816496580927726,1.03509833901353,0.953462589245592,0.0275682774442394
"MOP4","en","This opportunity helped lay the foundations for his solo career .",10,"4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4",3.93333333333,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,,,,,15,0.258198889747161,0,0.353553390593274,0.288675134594813,0.0191512083654535
"MOP4","en","The land was cleared and the site prepared for construction .",10,"4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,16,0,0,0,0,0
"MOP4","en","It has been approved in Japan in a topical form to treat glaucoma .",13,"4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 2, 4, 2, 4, 2, 4",3.52941176471,4,4,4,4,4,3,4,3,4,4,4,2,4,2,4,2,4,,,,17,0.799816155346303,0,0.462910049886276,0.65133894727893,0.0630277577332956
"MOP4","en","By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .",18,"4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1",3.5625,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,1,,,,,16,0.813941029804985,0,0.517549169506766,0.452267016866645,0.388125716178665
"MOP4","en","Geertz's final category of slametans , intermittently occurring and dependent on a specific situation , are somewhat less frequent and tend to be smaller affairs .",23,"4, 4, 3, 3, 2, 1, 2, 4, 4, 3, 2, 3, 2, 4, 1, 2, 4",2.82352941176,4,4,3,3,2,1,2,4,4,3,2,3,2,4,1,2,4,,,,17,1.07443555632987,0.577350269189626,1.1259916264596,0.996204919895622,0.00788998223445958
