followup1;other1;language;length;how_natural;rating_list;merged_ratings;text;number_of_reasons;max_workers;mean_rating;std_dev
5,6,,,6,,,,,6,,,,,,,,5,,6;"


















";en;10;3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3;3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3,4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;20;20;3.41666666666667 2.65;0.840917865872082 1.53125335660212
,10,,,5,5,5,9,10,9,10,,6,10,10,6,7,,,6,8,9,10,5,7,9,10,10,,9,10;"


















";en;22;4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3;3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2;4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3,3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2; seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .;31;20;2.75 2.05;1.07902072004467 1.46808145478878
5,6,9,7,7,6,,,5,6,7,9,9,5,5,,,5,6,10,5,5,6,5,6,6,5;"


















";zh;16;2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3;2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2;2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3,2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2;1972 Great Britain captain , he was the first black captain of any British national sporting side .;27;20;2.34285714285714 2.5;0.998317913022793 1.53896752812773
9,1;";;;;;;;;;;;;;;;;;;;";es;16;3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;A 6 month follow-up after implantation of radioactive stents showed little adverse side effects in patients.;2;20;3.88888888888889 3.7;0.323380833381777 0.923380516876639
7,,,,,9,,,,7,,,,,,,,10,,;"


















";no;20;3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.;19;20;3.83333333333333 3.55;0.447213595499958 1.09904264559757
7,9,8,9,,,,8,,10,,5,5,7,,5,,9,,,,7;"


















";es;14;3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2;3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1;3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2,3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1;A Mansion House at the lower limit of Woodway land was known as Gorway .;22;20;3.16216216216216 2.8;0.957819094306131 1.5078740698501
,,,,,,7,9,,,,,,,,,,9,,;"


















";es;15;4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;A petition seeking judicial protection must be accompanied by a report from an independent auditor.;19;20;3.85294117647059 3.85;0.435705832176382 0.670820393249937
,9,5,,10,,6,5,,5,,5,,5,7,10,5,7,11,5,7,7;"















The words ""eight-create""


";no;14;4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3;3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1;4, 2, 2, 4, 3, 4, 2, 3, 4, 1, 4, 2, 4, 2, 2, 2, 2, 3, 2, 3,3, 3, 3, 3, 3, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 3, 1;Also in that eight - create league were Joe DiMaggio , Joe Gordon, and Stan Musial .;22;20;2.54054054054054 2.05;1.0433544884595 1.46808145478878
6,5,10,6,8,11,5,6,8,5,5,6,6,7,6,6,5,6,5,6,5,6,5,9,5,6,,,;"


sentence fragment















";en;8;3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4;2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 3, 2, 1, 1, 2, 1, 1, 4, 4, 4,2, 3, 4, 2, 1, 4, 3, 2, 4, 1, 2, 1, 3, 4, 3, 4, 1, 2;and is currently held by two Labour Councillors .;28;20;2.36842105263158 1.9;1.10088545766404 1.41048703794488
8,9,7,9,8,8,,10,,,8,8,9,9,8,8,,,,5,,5,;"


















";en;14;2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4;4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;2, 1, 3, 2, 4, 3, 4, 4, 2, 2, 1, 3, 2, 4, 4, 4, 2, 4, 2, 4,4, 4, 1, 3, 2, 1, 4, 2, 1, 2, 4, 2, 4, 2;As of November 2013 , Murkudis is now longer with Closed due to creative differences .;22;20;2.73529411764706 2.35;1.13641711104127 1.53125335660212
,,,,6,,,,,7,,,,,,5,,,,;"


















";es;9;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Banchory is known as the gateway to Royal Deeside.;19;20;3.88888888888889 3.85;0.318727629155838 0.670820393249937
,5,8,,,9,,,,6,6,,,,6,8,10,,,5,,7;"


















";en;10;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 3, 4, 4, 3, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;Born in Jiangxi , he started learning guqin in his childhood .;22;20;3.71428571428571 3.85;0.518562978841732 0.670820393249937
,,,,,9,,9,10,,,,,,,,,10,,,;"


















";no;20;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2;But as with the members of any organization, some missionaries use certain missionary specific jargon when communicating with each other .;20;20;3.73684210526316 3.4;0.601089574937173 1.23117402250218
5,8,,,,,,10,,7,,,,8,8,10,10,,5,,10;"


















";en;18;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3;4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;3, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3,4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 1;By the early 770s , it appears that Offa was attempting to rule Kent directly , and a rebellion followed .;21;20;3.44444444444444 2.95;0.808683036775382 1.46808145478878
