mop;language;text;combined_rating_list;;other1_gold;followup1;other1;followup1_gold;how_natural_gold
MOP4;es;Within days, the four decided to form their own theater company .;3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;7;;;
MOP4;es;When Archer asked his publishers for some money to record the new songs that he had written , they terminated his contract instead .;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;We have established several chapters PVMA , Inc. as the profession of veterinary medicine made during the current Philippines.;4, 2, 4, 3, 2, 3, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;9;;;
MOP4;es;Was inactivated in 1963 when SAC inactivated its provisional Strategic Wings , redesignating them permanent Air Force Wings .;3, 2, 4, 3, 1, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;9;;;
MOP4;es;Verrinder made his first-class debut for Surrey against Middlesex in the 1974 County Championship .;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Verrinder county championship in 1974 made his first-class debut for Surrey against Middlesex .;3, 2, 3, 3, 4, 4, 4, 2, 4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Under the Stimson Doctrine , USA , and under similar doctrines , the legitimacy of the Soviet occupation of Baltic states was never recognized .;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Under Stimson Doctrine , the United States and under similar doctrines , the legitimacy of the Soviet occupation of the Baltic States was never recognized .;3, 4, 1, 4, 2, 2, 4, 2, 4, 3, 3, 4, 2, 2, 4, 3, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;Topical form to treat glaucoma , It has been approved in Japan .;3, 3, 1, 3, 3, 1, 2, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
MOP4;es;To make a return of Jungledyret 3, he hopes that you maintain the safety of Hugo Turn over a new leaf .;4, 3, 1, 3, 1, 2, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;;;;;;
