"followup1","how_natural","other1","language","length","max_workers","mop","rating_list","text","number_of_reasons"
"5",3,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"6",2,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"6",3,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"6",2,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"5",2,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"",4,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",0
"6",3,"","en",10,16,"MOP4","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",1
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"10",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"5",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"5",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"5,9,10",1,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",3
"9,10",2,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",2
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"6,10",1,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",2
"10",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"6,7",2,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",2
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"6,8,9,10",1,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",4
"5,7,9,10",2,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",4
"10",2,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"",4,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",0
"9",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"10",3,"","en",22,16,"MOP4","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",1
"",4,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",0
"",4,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",0
"9",3,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"6,9",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"7",3,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
"6,10",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"5,6",1,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"",4,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",0
"5,6",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"6,9",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",2
"5",2,"","ja",20,13,"MOP4","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",1
