followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"5
6


6




6







5

6";"


















";en;10;16;MOP4;3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3;4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3;3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3,4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3; Espagne  served until June 1932 , when she was laid up .;6
"
10


5
5
5,9,10
9,10

6,10
10
6,7


6,8,9,10
5,7,9,10
10

9
10";"


















";en;22;16;MOP4;4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3;3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2;4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3,3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2; seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .;24
"

9
6,9
7
6,10
5,6

5,6
6,9
5
7,10
5
5

5
5
9
5,6,7,9,10
5,7";"


















";ja;20;13;MOP4;4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3;1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1;4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3,1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1;1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .;27
"5
6,9
7
7
6


5,6,7,9
9
5
5


5,6,10
5
5,6
5
6
6
5";"


















";zh;16;15;MOP4;2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3;2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2;2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3,2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2;1972 Great Britain captain , he was the first black captain of any British national sporting side .;23
9,10;;es;16;17;MOP4;3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;A 6 month follow-up after implantation of radioactive stents showed little adverse side effects in patients.;2
"7




9



7







10

";"


















";no;20;16;MOP4;3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.;4
"7
9
8,9



8

10

5
5,7

5

9



7";"


















";es;14;17;MOP4;3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2;3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1;3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2,3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1;A Mansion House at the lower limit of Woodway land was known as Gorway .;12
"





7
9









9

";"


















";es;15;14;MOP4;4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4;A petition seeking judicial protection must be accompanied by a report from an independent auditor.;3
"

7
5
10

5

10
7
9


9
5,9

8

10
6";"


















";ja;15;16;MOP4;4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 3, 4, 3, 2;3, 4, 3, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 3, 4, 1;4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 3, 4, 3, 2,3, 4, 3, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 3, 4, 1;About 1800 BC and later , the settlement of the area by the Germanic tribes began .;13
"7



5,6
5,6,7,9
5,11
5
5
5
5



6
5

5,6
9
";"





doesn't really make sense in the wording












";zh;20;16;MOP4;3, 4, 4, 4, 2, 1, 1, 1, 3, 1, 2, 4, 4, 4, 1, 1, 4, 3, 2, 4;3, 3, 4, 3, 4, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2;3, 4, 4, 4, 2, 1, 1, 1, 3, 1, 2, 4, 4, 4, 1, 1, 4, 3, 2, 4,3, 3, 4, 3, 4, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2;ACS to do a special  fat heavy flywheel in 14T and 16T BMX with 16  teeth only 3/16 compatible chain.;18
