how_natural;language;length;max_workers;mean_rating;text;std_dev
4, 4, 4, 1, 4, 4, 1, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1;en;10;20;2.65; Espagne  served until June 1932 , when she was laid up .;1.53125335660212
4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 4;en;22;20;2.05; seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .;1.46808145478878
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1;ja;20;20;1.6;1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .;1.23117402250218
1, 1, 1, 4, 4, 4, 1, 1, 1, 1, 4, 4, 4, 4, 1, 1, 4, 4, 1, 4;zh;16;20;2.5;1972 Great Britain captain , he was the first black captain of any British national sporting side .;1.53896752812773
4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;es;16;20;3.7;A 6 month follow-up after implantation of radioactive stents showed little adverse side effects in patients.;0.923380516876639
4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4;no;20;20;3.55;A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.;1.09904264559757
4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4;es;14;20;2.8;A Mansion House at the lower limit of Woodway land was known as Gorway .;1.5078740698501
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4;es;15;20;3.85;A petition seeking judicial protection must be accompanied by a report from an independent auditor.;0.670820393249937
4, 4, 1, 4, 4, 1, 4, 4, 1, 1;ja;15;10;2.8;About 1800 BC and later , the settlement of the area by the Germanic tribes began .;1.54919333848297
4, 4, 4, 4, 1, 1, 1, 1, 1, 1;zh;20;10;2.2;ACS to do a special  fat heavy flywheel in 14T and 16T BMX with 16  teeth only 3/16 compatible chain.;1.54919333848297
4, 4, 1, 1, 4, 1, 4, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4;es;17;20;2.8;Adults are on wing from June to July in North America and May to July in Europe .;1.5078740698501
4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1;ja;20;16;1.9375;After the investigation , he put the responsibility of the meat problem only subcontractors acquitted the vendor and his Ninian Edwards .;1.43614066163451
4, 4, 1, 4, 1, 1, 1, 1, 1, 1;no;10;10;1.9;All located within the Okataina caldera , along the western edge .;1.44913767461894
4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;en;12;20;3.7;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;0.923380516876639
4, 4, 1, 4, 4, 4, 4, 4, 4, 1;es;12;10;3.4;Alpheias baccalis is a species of snout moths in the genus  Alpheias  .;1.26491106406735
4, 4, 1, 1, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4;no;14;20;2.05;Also in that eight - create league were Joe DiMaggio , Joe Gordon, and Stan Musial .;1.46808145478878
4, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 1;en;8;20;1.9;and is currently held by two Labour Councillors .;1.41048703794488
4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4;no;9;20;3.7;And now he is the coach of KK Bosna.;0.923380516876639
