"followup1","other1","language","length","mop","how_natural","rating_list","merged_ratings","text","number_of_reasons","max_workers","mean_rating","std_dev","std_dev_dropoff"
"5,6,,,6,,,,,6,,,,,,,,5,,6","


















","en",10,"MOP4","3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3","4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3","3, 2, 4, 4, 3, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3,4, 4, 3, 4, 3, 2, 4, 2, 4, 4, 3, 4, 3, 4, 1, 3"," Espagne  served until June 1932 , when she was laid up .",20,36,3.41666666666667,0.840917865872082,0.0921815567444557
",10,,,5,5,5,9,10,9,10,,6,10,10,6,7,,,6,8,9,10,5,7,9,10,10,,9,10","


















","en",22,"MOP4","4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3","3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2","4, 3, 4, 4, 3, 3, 1, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4, 3, 3,3, 3, 4, 4, 1, 1, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2"," seven larches  ) is a town in Yamalo-Nenets Autonomous Okrug , Russia , located on the left bank of the Ob River , northwest of Salekhard .",31,36,2.75,1.07902072004467,0.0209897233258456
",,9,6,9,7,6,10,5,6,,5,6,6,9,5,7,10,5,5,,5,5,9,5,6,7,9,10,5,7","


















","ja",20,"MOP4","4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3","1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","4, 4, 3, 2, 3, 2, 1, 4, 2, 2, 2, 2, 3, 1, 4, 1, 2, 2, 1, 3,1, 3, 1, 1, 1, 4, 3, 2, 3, 2, 1, 1, 1","1917 , the birthday of the fifty -year-old girlfriend , gallery of Paul Cassirer gave a retrospective of drawings of 150 by Kollwitz .",31,33,2.18181818181818,1.07396885006461,0.0103980739998788
"5,6,9,7,7,6,,,5,6,7,9,9,5,5,,,5,6,10,5,5,6,5,6,6,5","


















","zh",16,"MOP4","2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3","2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","2, 2, 2, 2, 2, 4, 4, 3, 2, 2, 3, 4, 4, 1, 2, 2, 1, 3, 2, 3,2, 3, 1, 1, 4, 2, 2, 1, 1, 3, 1, 3, 4, 2, 2","1972 Great Britain captain , he was the first black captain of any British national sporting side .",27,35,2.34285714285714,0.998317913022793,0.0269315023081125
"9,1","","es",16,"MOP4","3","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A 6 month follow-up after implantation of radioactive stents showed little adverse side effects in patients.",2,18,3.88888888888889,0.323380833381777,0.0733808333817773
"7,,,,,9,,,,7,,,,,,,,10,,","


















","no",20,"MOP4","3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","3, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4","A customer in a nearby art gallery jokingly suggested that the city should have a festival to celebrate the accident.",19,36,3.83333333333333,0.447213595499958,0.0115077633235761
"7,9,8,9,,,,8,,10,,5,5,7,,5,,9,,,,7","


















","es",14,"MOP4","3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2","3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 2, 2, 4, 2, 4, 2, 4, 4, 4, 2,3, 4, 4, 4, 1, 4, 3, 2, 2, 4, 4, 4, 2, 4, 3, 3, 1","A Mansion House at the lower limit of Woodway land was known as Gorway .",22,37,3.16216216216216,0.957819094306131,0.0475601044733317
",,,,,,7,9,,,,,,,,,,9,,","


















","es",15,"MOP4","4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4","4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4","A petition seeking judicial protection must be accompanied by a report from an independent auditor.",19,34,3.85294117647059,0.435705832176382,0.139561251096083
",,7,5,10,,5,,10,7,9,,,9,5,9,,8,,10,6","


















","ja",15,"MOP4","4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 3, 4, 3, 2","3, 4, 3, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 3, 4, 1","4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 3, 4, 3, 2,3, 4, 3, 4, 4, 3, 3, 2, 4, 4, 3, 4, 4, 3, 4, 1","About 1800 BC and later , the settlement of the area by the Germanic tribes began .",21,36,3.30555555555556,0.749073501808141,0.103231184005072
"7,,,,5,6,5,6,7,9,5,11,5,5,5,5,,,,6,5,,5,6,9,","





doesn't really make sense in the wording












","zh",20,"MOP4","3, 4, 4, 4, 2, 1, 1, 1, 3, 1, 2, 4, 4, 4, 1, 1, 4, 3, 2, 4","3, 3, 4, 3, 4, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2","3, 4, 4, 4, 2, 1, 1, 1, 3, 1, 2, 4, 4, 4, 1, 1, 4, 3, 2, 4,3, 3, 4, 3, 4, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2","ACS to do a special  fat heavy flywheel in 14T and 16T BMX with 16  teeth only 3/16 compatible chain.",25,36,2.41666666666667,1.22765746735108,0.00903641745060901
